gid,sub_code,namt,name,location_t,location_e,version,sourcethm,icon_url
"119","47020",โรงเรียนศรีธนาพาณิชย์การเทคโนโลยีเชียงใหม่,SRITANA COMMERCIAL TECHNOLOGY COLLEGE CHIANGMAI,ถนนห้วยแก้ว,HUAY KAEW RD.,"1",Schools_landmark,./0.png
"120","47010",โรงเรียนโกวิทธำรงเชียงใหม่,KOWIT THAMRONG CHIANG MAI SCHOOL,ถนนช้างเผือก,CHANG PHUAK RD.,"1",Schools_landmark,./0.png
"121","47010",โรงเรียนดาราวิทยาลัย,DARA WITTHAYALAI SCHOOL,ถนนแก้วนวรัฐ,KAEW NAWARAT RD.,"1",Schools_landmark,./0.png
"122","47010",โรงเรียนเชตุพนศึกษา,CHETUPHON SUEKSA SCHOOL,ถนนเชตุพน,CHETOPHON RD.,"1",Schools_landmark,./0.png
"123","47010",โรงเรียนปริ้นรอยัลวิทยาลัย,THE PRINCE ROYAL COLLEGE,ถนนเชตุพน,CHETOPHON RD.,"1",Schools_landmark,./0.png
"124","47010",โรงเรียนสิริมงคลานุสรณ์,SIRI MANGKHALANUSON SCHOOL,ถนนมณีนพรัตน์,MANEENOPPARAT RD.,"1",Schools_landmark,./0.png
"125","47010",โรงเรียนเทศบาลวัดเชียงยืน,WAT CHIANG YUEN THETSABAN SCHOOL,ถนนสนามกีฬา,SANAMKILA RD.,"1",Schools_landmark,./0.png
"126","47010",โรงเรียนวรเชษฐอนุสรณ์,WORACHET ANUSON SCHOOL,ถนนมณีนพรัตน์,MANEENOPPARAT RD.,"1",Schools_landmark,./0.png
"127","47010",โรงเรียนบ้านมอญ,BAN MON SCHOOL,ถนนสันพระเนตร 1,SUN PLANATE 1 RD.,"1",Schools_landmark,./0.png
"128","47010",โรงเรียนปรินส์รอยแยลส์วิทยาลัย,PRINCE ROYAL ACADEMY,ถนนแก้วนวรัฐ,KAEW NAWARAT RD.,"1",Schools_landmark,./0.png
"129","47010",โรงเรียนวารีเสริมปัญญา,VAREE INTELLINGENT PROGRAMS,ถนนแก้วนวรัฐ,KAEW NAWARAT RD.,"1",Schools_landmark,./0.png
"130","47010",โรงเรียนบ้านเชิงดอยสุเทพ,BAN CHOENG DOI SUTHEP SCHOOL,ถนนสุเทพ,SUTHEP RD.,"1",Schools_landmark,./0.png
"131","47010",โรงเรียนอนุศึกษา,ANU SUEKSA SCHOOL,ถนนราชภาคินัย,RATCHAPAKINAI RD.,"1",Schools_landmark,./0.png
"132","47010",โรงเรียนเทศบาลวัดเกตการาม,WAT KETKARAM THETSABAN SCHOOL,ถนนเจริญราษฎร์,CHAROENRAD RD.,"1",Schools_landmark,./0.png
"133","47010",โรงเรียนยุพราชวิทยาลัย,YUPPHARAT WITTHAYALAI SCHOOL,ถนนพระปกเกล้า,PRAPOKKLAO RD.,"1",Schools_landmark,./0.png
"134","47010",โรงเรียนหอพระ,HO PHRA SCHOOL,ถนนสิงหราช,SINGHARAT RD.,"1",Schools_landmark,./0.png
"135","47010",โรงเรียนจิตต์ภักดี,ATTAQWA SCHOOL,ถนนบำรุงราษฎร์,BUMRUNGRAT RD.,"1",Schools_landmark,./0.png
"136","47010",โรงเรียนนานาชาตินครพายัพ,NAKORN PAYAP INTERNATIONAL SCHOOL,ถนนเชียงใหม่-ลำปาง,CHIANG MAI-LAMPANG RD.,"1",Schools_landmark,./0.png
"137","47010",โรงเรียนพิงค์รัตน์,PHING RAT SCHOOL,ถนนมนตรี,MONTRI RD.,"1",Schools_landmark,./0.png
"138","47010",โรงเรียนวัดหนองป่าครั่ง,WAT NONG PA KHRANG SCHOOL,ถนนธนุษย์พงษ์,THANUSPONG RD.,"1",Schools_landmark,./0.png
"140","47010",โรงเรียนเทศบาลดอกเงิน,DOK NGOEN THETSABAN SCHOOL,ถนนชัยภูมิ,CHAIYAPHUM RD.,"1",Schools_landmark,./0.png
"141","47010",โรงเรียนวัดสวนดอก,WAT SUAN DOK SCHOOL,ถนนสวนดอก,SUAN DOK RD.,"1",Schools_landmark,./0.png
"142","47010",โรงเรียนคำเที่ยงอนุสรณ์,KHAM THIANG ANUSON SCHOOL,ถนนเจริญประเทศ,CHAROEN PRATHET RD.,"1",Schools_landmark,./0.png
"143","47010",โรงเรียนธรรมราชศึกษา,THAMMARAT SUEKSA SCHOOL,ถนนสามล้าน,SAMLARN RD.,"1",Schools_landmark,./0.png
"144","47010",โรงเรียนศรีลานนา,SI LANNA SCHOOL,ถนนทวีอุทิศ,THEVEE U-THIT RD.,"1",Schools_landmark,./0.png
"145","47040",โรงเรียนสอนคนตาบอดภาคเหนือ,NORTHERN REGION SCHOOL FOR THE BLINDED,ถนนอารักษ์,ARAK RD.,"1",Schools_landmark,./0.png
"146","47010",โรงเรียนเชียงใหม่คริตเตียน,THE CHANGMAI CHRISTIAN SCHOOL,ถนนเชียงใหม่-ลำพูน,CHIANGMAI-LAMPHUN RD.,"1",Schools_landmark,./0.png
"147","47010",โรงเรียนเมตตาศึกษา,METTA SUEKSA SCHOOL,ถนนราชมรรคา,RATCHAMANKA RD.,"1",Schools_landmark,./0.png
"148","47010",โรงเรียนพุทธิโศภน,PHUTTHI SOPHON SCHOOL,ถนนราชมรรคา,RATCHAMANKA RD.,"1",Schools_landmark,./0.png
"149","47010",โรงเรียนชุมชนบ้านบวกครกน้อย,BAN BUAK KHROK NOI COMMUNITY SCHOOL,ทางหลวงแผ่นดินหมายเลข 1006,HIGHWAY 1006,"1",Schools_landmark,./0.png
"150","47010",โรงเรียนบ้านสันต้นม่วงใต้,BAN SAN TON MUANG TAI SCHOOL,ถนนโยธาธิการ ชม. 2008 (บ้านต้นเปา-บ้านน้ำแพร่),YOTHATHIKAN CHIANG MAI 2008 RD. (BAN TON PAO-BAN NAM PHRAE),"1",Schools_landmark,./0.png
"151","47010",โรงเรียนเทศบาลวัดหมื่นเงินกอง,WAT MUEN NGOEN KONG THETSABAN SCHOOL,ถนนราชมรรคา,RATCHAMANKA RD.,"1",Schools_landmark,./0.png
"152","47010",โรงเรียนวัฒโนทัยพายัพ,WATTANOTHAIPAYAP SCHOOL,ถนนบุญเรืองฤทธิ์,BOONRUANGRIT RD.,"1",Schools_landmark,./0.png
"153","47020",โรงเรียนเชียงใหม่เทคโนโลยี,CHIANGMAI TECHNOLOGY,ถนนเจริญเมือง,CHAROEN MUANG RD.,"1",Schools_landmark,./0.png
"154","47020",โรงเรียนพาณิชยการเชียงใหม่,CHIANG MAI COMMERCIAL COLLEGE,ถนนคชสาร,KOTCHASARN RD.,"1",Schools_landmark,./0.png
"155","47010",โรงเรียนบ้านสันต้นแหน,BAN SAN TON HAN SCHOOL,,,"1",Schools_landmark,./0.png
"156","47020",โรงเรียนเทคโนโลยีลานนา,LANNA-TECH,ถนนคชสาร,KOTCHASARN RD.,"1",Schools_landmark,./0.png
"157","47010",โรงเรียนเทศบาลวัดท่าสะต่อย,WAT THA SATOI THETSABAN SCHOOL,ถนนท่าสะต๋อย,THA SA TOY RD.,"1",Schools_landmark,./0.png
"158","47010",โรงเรียนชุมชนเทศบาลวัดศรีดอนไชย,WAT SI DON CHAI COMMUNITY THETSABAN SCHOOL,ถนนช้างคลาน,CHANG KLAN RD.,"1",Schools_landmark,./0.png
"159","47010",โรงเรียนบ้านป่าบง,BAN PA BONG SCHOOL,ทางหลวงแผ่นดินหมายเลข 1014,HIGHWAY 1014,"1",Schools_landmark,./0.png
"160","47010",โรงเรียนกาวิละอนุกูล,KAWILAANUKUL SCHOOL,ถนนสันนาลุง,SANNA LONG RD.,"1",Schools_landmark,./0.png
"161","47010",โรงเรียนวัดพวกช้าง,WAT PHUAK CHANG SCHOOL,ถนนศรีดอนไชย,SRI DORNCHAI RD.,"1",Schools_landmark,./0.png
"162","47010",โรงเรียนร้องขุ่น,RONG KHUN SCHOOL,ทางหลวงแผ่นดินหมายเลข 1006,HIGHWAY 1006,"1",Schools_landmark,./0.png
"163","47010",โรงเรียนไมตรีจิตคริตเตียนเชียงใหม่,MAITRECJIT CHRISTIAN CHIANGMAI SCHOOL,ถนนบ้านใหม่,BAN MAI RD.,"1",Schools_landmark,./0.png
"164","47010",โรงเรียนเทศบาลวัดศรีสุพรรณ,WAT SI SUPHAN THETSABAN SCHOOL,ถนนวัวลาย,WUALAI RD.,"1",Schools_landmark,./0.png
"165","47010",โรงเรียนไชยโรจน์วิทยา,CHAI ROT WITTHAYA SCHOOL,ถนนเจริญประเทศ,CHAROEN PRATHET RD.,"1",Schools_landmark,./0.png
"166","47010",โรงเรียนวชิรวิทย์,WACHIRAWIT SCHOOL,ถนนประชาสัมพันธ์,PRACHA SAMPHAN RD.,"1",Schools_landmark,./0.png
"167","47010",โรงเรียนเรยีนาเชลีวิทยาลัย,REGINA COELI COLLEGE,ถนนเจริญประเทศ,CHAROEN PRATHET RD.,"1",Schools_landmark,./0.png
"168","47010",โรงเรียนสันติศึกษา (แผนกอนุบาลประถม),SANTISUKSA SCHOOL,ถนนประชาสัมพันธ์,PRACHA SAMPHAN RD.,"1",Schools_landmark,./0.png
"169","47010",โรงเรียนพระหฤทัยเชียงใหม่,SACRED HEART COLLEGE,ถนนเจริญประเทศ,CHAROEN PRATHET RD.,"1",Schools_landmark,./0.png
"170","47010",โรงเรียนจิตราวิทยา,CHITTRA WITTHAYA SCHOOL,ถนนราษฎร์อุทิศ,RAT U-THIT RD.,"1",Schools_landmark,./0.png
"171","47010",โรงเรียนวัดสันกลางเหนือ,WAT SAN KLANG NUEA SCHOOL,,,"1",Schools_landmark,./0.png
